source;url;ref;date;activite;secteur;naf;region;ca;ebe;effectif;prix;raison;dependance;doublon_probable;notes
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18824;N°18824;;"Distribution Produits ""Bien-Etre""";Négoce / distribution B2B;47 - Commerce de détail, à l'exception des automobiles et des motocycles;Provence-Alpes-Côte d'Azur;400000;;;145000;Changement de vie;;;"Distribution produits ""bien-être"" par l'intermédiaire de ""market place"" (80%), le reste par le site Web (www.encens.fr) Gamme de produits : minéraux, Encens, bougies, bijoux, articles ésotériques Clientèle essentiellement B to C CA récurrent sur les dernières années (400 K€) Atout important: ancienneté (12 ans) et notoriété Amazon (95 % satisfaction) Entreprise délocalisable sans difficulté EBITDA"
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18821;N°18821;;Entreprise de distribution d’électroménager et de multimédia;Services informatiques / ESN / éditeur de logiciel;4651Z - Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels;Auvergne-Rhône-Alpes;4700000;;;2200000;;;;Cette société exploite plusieurs magasins spécialisés dans la vente et la réparation de produits multimédia et électroménager. Son expertise couvre l’image, le son, les articles culinaires, le petit et gros électroménager ainsi que la pose d’antennes. L’activité repose majoritairement sur une clientèle de particuliers (95 % du chiffre d’affaires) et compte environ 90.000 clients au total, dont 25.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18815;N°18815;;Emballages pour professionnels Grand Ouest France.;Communication / marketing / édition / imprimerie / PLV;4619B - Autres intermédiaires du commerce en produits divers;Bretagne;2800000;;;3000000;Retraite;;;PME familiale créée par la Co- Dirigeante en 2004 avec pour activité initiale le papier cadeau auprès de commerçants, qui a ensuite évolué vers la commercialisation de packaging et d'emballages publicitaires qualitatifs et personnalisés auprès d'une clientèle sensible à l'emballage cadeau luxueux.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18813;N°18813;;Bureau d'études ingénierie et machines spéciales;Bureau d'études / ingénierie / diagnostics;7490B - Autres activités spécialisées, scientifiques et techniques;Grand Est;2800000;;;1900000;Retraite;;;Cette entreprise qui sert un marché de niche mondial, est appréciée de ses clients industriels pour la compréhension de leur métier, la qualité de ses réalisations et son service après-vente. Elle conviendrait à un repreneur de formation technique. Bénéficiant d’une solide expérience à l’international et à l’aise en langue anglaise, il s’occupera de la vente, de la prospection et de la relation cl
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18806;N°18806;;Bureau d'ingénierie et études techniques charpentes, diagnostics solidités structures.;Bureau d'études / ingénierie / diagnostics;"7112B - Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques";Bretagne;744307;;;990000;Retraite;;;il s'agit d'un bureau d'Ingénierie – Etudes techniques pour les charpentes bois, acier, aluminium, béton – études de fondations – dimensionnement d’ouvrages d’art, silos – diagnostic de solidité structures – structures de panneaux solaires, trackers…
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18802;N°18802;;Agence de trade marketing et supports de communication;Communication / marketing / édition / imprimerie / PLV;7311Z - Publicité et études de marché;Nouvelle-Aquitaine;4000000;;;2100000;Réorientation professionnelle;;;Depuis plus de 30 ans, la société est spécialisée dans la conception et la fabrication de supports de communication pour des marques nationales et internationales. Son savoir-faire lui permet d’être un acteur reconnu pour son expertise en design d'espaces et d'objets de communication, au service d'une clientèle de premier plan, notamment dans les secteurs du luxe, de l'optique et de l'Action Sport
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18800;N°18800;;Opportunité de reprise – distribution B2B de produits alimentaires;Négoce / distribution B2B;4639A - Commerce de gros (commerce interentreprises) de produits surgelés;Provence-Alpes-Côte d'Azur;1673568;;;1100000;Retraite;;;TPE indépendante spécialisée dans la distribution de produits alimentaires auprès d'une clientèle professionnelle fidèle en restauration et traiteurs. Créée il y a plusieurs décennies, l'entreprise bénéficie d'une excellente réputation locale, d'une clientèle récurrente et d'un savoir-faire reconnu. Son organisation légère et sa structure financière saine lui permettent de générer des résultats po
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18799;N°18799;;Cabinet conseil en relations humaines;Recrutement / intérim / RH / paie;"7022Z - Activités des sièges sociaux ; conseil de gestion";Île-de-France;1038000;;;1100000;Retraite;;;Ce cabinet de conseil, de 8 salariés et 3 indépendants, est aujourd’hui reconnu comme un acteur historique du recrutement au service du secteur associatif. Ses activités principales sont le recrutement (77% du CA), les bilans de compétence (10%), le conseil (7%). Il s'appuie sur une très forte notoriété et des collaborateurs engagés. Sa situation financière est très saine et ses perspectives de dé
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18798;N°18798;;Distribution et fabrication de vêtements personnalisés;Négoce / distribution B2B;1419Z - Industrie de l'habillement;Pays de la Loire;1104000;;;750000;Réorientation professionnelle;;;Société créée en 2018, spécialisée dans la distribution B2B d'équipements de protection individuelle (EPI) et de vêtements de travail et d'images personnalisées, avec un atelier intégré de broderie et de transfert. 190 clients actifs, 95 % de chiffre d'affaire récurrent, aucun endettement. Force de vente terrain en place, ADV, site marchand et e-shops dédiés par client. Entreprise saine et structu
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18796;N°18796;;Beau réseau de distribution d'articles de chasse et de pêche;Communication / marketing / édition / imprimerie / PLV;4618Z - Intermédiaires spécialisés dans le commerce d'autres produits spécifiques;Bourgogne-Franche-Comté;1110000;;;225000;Changement de vie;;;Vente fonds de commerce à 225 000 euros plus stock à 700 000€: Très belle affaire de négoce de produits/accessoires et matériel pour la chasse et la pêche , en Bourgogne sud , 5 magasins , très bien implantée géographiquement dans une région de pêche et de chasse ( dept leader pour les cartes de péches et importantes pour les permis de chasse) , personnels autonomes et compétents, très beau positi
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18795;N°18795;;Expertise en optimisation des charges sociales;Recrutement / intérim / RH / paie;"7022Z - Activités des sièges sociaux ; conseil de gestion";Normandie;2000000;;;3500000;Retraite;;;Nous accompagnons des entreprises de toutes tailles et de tous secteurs d'activité dans l'analyse de leurs pratiques sur les charges sociales, la sécurisation de leurs dispositifs et la recherche d'optimisations souvent méconnues. Nos interventions concernent principalement les cotisations prélevées par les l'URSSAF, mais également avec d'autres organismes tels que CGSS ou la MSA Notre mission est
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18792;N°18792;;societe de nettoyage industriel;Propreté / nettoyage / multiservices;8122Z - Autres activités de nettoyage des bâtiments et nettoyage industriel;Auvergne-Rhône-Alpes;2200000;;;;Retraite;;;dossier présenté par intermédiaire. teaser en pièce jointe
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18789;N°18789;;Vente d'une pépite informatique;Services informatiques / ESN / éditeur de logiciel;6209Z - Programmation, conseil et autres activités informatiques;Auvergne-Rhône-Alpes;1900000;;;10000000;Autres activités en parallèle;;;Croissance 2026 : +25% vs 2025 , EBE = 44 % du CA sur le dernier exercice , 8 ans d'existence , 16 collaborateurs, la meilleure offre produit du marché à date . Une percée en Belgique et de nombreuses possibilités de déploiement en Europe pourraient intéresser un entrepreneur expérimenté en développement commercial à grande échelle.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18788;N°18788;;Distribution alimentaire haut de gamme dans un secteur spécialisé;Négoce / distribution B2B;1089Z - Industries alimentaires;Nouvelle-Aquitaine;1200000;;;550000;Changement de vie;;;Socitée de Distribution Alimentaire de Haute Qualitée dans le secteur animalier, chiens, chats, animaux de compagnie divers, chevaux, etc etc Vente de compléments alimentaires, vente d'articles spécifiques, vente de friandises ( gros secteur) Emplacement à faible concurrence, clientèle de particuliers fidèles. ( plus de 1500)
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18785;N°18785;;PME d’ingénierie et distribution de produits techniques – Rhône-Alpes;Bureau d'études / ingénierie / diagnostics;"7112B - Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques";Auvergne-Rhône-Alpes;1660331;;;1350000;Retraite;;;L'entreprise est une structure reconnue pour son expertise technique dans l’étude, la prescription, la conception, la fourniture et la mise en place de solutions de contrôle clefs en main et de distribution de produits à haute technicité. Rayonne au niveau national complété par des flux d'affaires à l'international. Grâce à une forte culture technique et un rôle clé de prescription en amont, la so
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18779;N°18779;;Distributeur indépendant de véhicules d'occasion;Négoce / distribution B2B;4520B - Commerce et réparation d'automobiles et de motocycles;Bourgogne-Franche-Comté;5600000;;;500000;Retraite;;;Entreprise familiale de référence, spécialisée dans la commercialisation de véhicules d'occasion toutes marques. Depuis plus de 60 ans, elle accompagne une clientèle de particuliers et de professionnels en proposant des véhicules rigoureusement sélectionnés, préparés et garantis. L'entreprise complète son offre par de nombreux services à valeur ajoutée : reprise de véhicules, financement, garantie
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18777;N°18777;;Ste propriétaire exploitante - blanchisserie industrielle Bretagne Sud;Propreté / nettoyage / multiservices;9601B - blanchisserie et teinture;Bretagne;878000;;;1300000;Autres activités en parallèle;;;Cession 100% titres d'une société située en Bretagne Sud (insulaire) ayant une activité de blanchisserie industrielle B to B. Bel outil de production respectueux de l'environnement. Perspectives immédiates tres importantes de développement.
