source;url;ref;date;activite;secteur;naf;region;ca;ebe;effectif;prix;raison;dependance;doublon_probable;notes
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18824;N°18824;;"Distribution Produits ""Bien-Etre""";Négoce / distribution B2B;47 - Commerce de détail, à l'exception des automobiles et des motocycles;Provence-Alpes-Côte d'Azur;400000;;;145000;Changement de vie;;;"Distribution produits ""bien-être"" par l'intermédiaire de ""market place"" (80%), le reste par le site Web (www.encens.fr) Gamme de produits : minéraux, Encens, bougies, bijoux, articles ésotériques Clientèle essentiellement B to C CA récurrent sur les dernières années (400 K€) Atout important: ancienneté (12 ans) et notoriété Amazon (95 % satisfaction) Entreprise délocalisable sans difficulté EBITDA"
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18823;N°18823;;CONCEPTION - FABRICATION et POSE de STRUCTURES METALLIQUES;Bâtiment / travaux publics / second œuvre;;Bretagne;4915000;;;2500000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18822;N°18822;;Restaurant affilié à une chaine;HCR / restauration / tourisme / loisirs;;Normandie;1730000;;;900000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18821;N°18821;;Entreprise de distribution d’électroménager et de multimédia;Services informatiques / ESN / éditeur de logiciel;4651Z - Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels;Auvergne-Rhône-Alpes;4700000;;;2200000;;;;Cette société exploite plusieurs magasins spécialisés dans la vente et la réparation de produits multimédia et électroménager. Son expertise couvre l’image, le son, les articles culinaires, le petit et gros électroménager ainsi que la pose d’antennes. L’activité repose majoritairement sur une clientèle de particuliers (95 % du chiffre d’affaires) et compte environ 90.000 clients au total, dont 25.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18820;N°18820;;ENTREPRISE PLATRERIE et PEINTURE au COEUR des ALPES;Bâtiment / travaux publics / second œuvre;;Auvergne-Rhône-Alpes;5960000;;;1800000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18819;N°18819;;Vente Entreprise de Métallerie;Bâtiment / travaux publics / second œuvre;;;3000000;;;1060000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18818;N°18818;;Menuiserie aluminium;Bâtiment / travaux publics / second œuvre;;Île-de-France;1110000;;;1400000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18817;N°18817;;Hôtel-restaurant avec clientèle fidèle et fort potentiel touristique;HCR / restauration / tourisme / loisirs;;Centre-Val de Loire;700000;;;18817;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18815;N°18815;;Emballages pour professionnels Grand Ouest France.;Communication / marketing / édition / imprimerie / PLV;4619B - Autres intermédiaires du commerce en produits divers;Bretagne;2800000;;;3000000;Retraite;;;PME familiale créée par la Co- Dirigeante en 2004 avec pour activité initiale le papier cadeau auprès de commerçants, qui a ensuite évolué vers la commercialisation de packaging et d'emballages publicitaires qualitatifs et personnalisés auprès d'une clientèle sensible à l'emballage cadeau luxueux.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18814;N°18814;;Parts Sociales - Installation de poêles à bois, granulés et cheminées;Industrie / production / fabrication;;;500000;;;219000;;;;
