priorite;score;nom;siren;code_naf;ville;code_postal;departement;region;adresse;ca_eur;annee_comptes;resultat_net_eur;effectif_tranche;annee_effectif;annee_creation;anciennete_ans;dirigeant_principal;age_dirigeant_max;nb_etablissements_ouverts;categorie_insee;site_web_probable;email_contact;signaux_site;signaux_faible_digitalisation;offres_emploi_admin;linkedin;url_source_registre;url_source_api
A;9;PROTECT SECURITE;394995773;46.69B;NANTERRE;92000;92;Île-de-France;18 A 22 18 RUE D'ARRAS 92000 NANTERRE;4106501;2025;1302324;20 à 49;2023;1994;32;Patrick Bergdoll (60 ans, Président de SAS);60;3;PME;https://www.protect.fr;protect@protect.fr;"portail/espace client; fax affiché; site récent (https+responsive)";"pas de devis/commande en ligne détecté ; fax encore affiché";n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/394995773;https://recherche-entreprises.api.gouv.fr/search?q=394995773
A;9;ASIATIDES IMPORT;321817900;46.49Z;PARIS;75001;75;Île-de-France;16 AVENUE VICTORIA 75001 PARIS;3643618;2020;-4303545;20 à 49;2023;1981;45;"Yifu Chen (36 ans, Directeur Général); Zhi Chen (63 ans, Président de SAS)";63;2;PME;https://www.asiatides.com/?v=82a9e4d26595;n/d;"commande/devis en ligne; site récent (https+responsive)";pas d'espace client détecté;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/321817900;https://recherche-entreprises.api.gouv.fr/search?q=321817900
A;8;VIALIFE (VIAPRESSE);415280627;46.18Z;PARIS;75018;75;Île-de-France;7 IMPASSE MARIE BLANCHE 75018 PARIS;4324284;2022;123232;10 à 19;2023;1997;29;"Etienne Mareine (61 ans, Administrateur); Vincent Mareine (58 ans, Président du conseil d’administration); Cyril Zimmermann (55 ans, Administrateur)";61;4;PME;https://www.viapresse.com:443/;servicedevis@viapresse.com;"commande/devis en ligne; formulaire de contact; site récent (https+responsive)";pas d'espace client détecté;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/415280627;https://recherche-entreprises.api.gouv.fr/search?q=415280627
A;8;EXCILONE;504565888;46.51Z;ELANCOURT;78990;78;Île-de-France;6-10                 PARC EUCLIDE 6 RUE BLAISE PASCAL 78990 ELANCOURT;3747184;2025;305054;20 à 49;2023;2008;18;Pierre Defrenaix (61 ans, Gérant);61;2;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/504565888;https://recherche-entreprises.api.gouv.fr/search?q=504565888
A;8;SOCIETE PETRUZZELLA;579800129;46.73A;BURES-SUR-YVETTE;91440;91;Île-de-France;26 RUE DE LA GUYONNERIE 91440 BURES-SUR-YVETTE;3156045;2024;-153819;10 à 19;2023;1957;69;Bruno Petruzzella (68 ans, Président de SAS);68;2;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/579800129;https://recherche-entreprises.api.gouv.fr/search?q=579800129
A;8;BRUSER;392502126;46.69B;GARGENVILLE;78440;78;Île-de-France;16 RUE DES SABLONS 78440 GARGENVILLE;2688193;2021;397561;20 à 49;2023;1993;33;Dominique Turpin (59 ans, Directeur Général);59;2;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/392502126;https://recherche-entreprises.api.gouv.fr/search?q=392502126
A;8;LCS;402136071;46.51Z;ENNERY;95300;95;Île-de-France;5 RUE FERRIE 95300 ENNERY;2319690;2024;11572;10 à 19;2023;1995;31;Philippe Bonnargent (65 ans, Président de SAS);65;2;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/402136071;https://recherche-entreprises.api.gouv.fr/search?q=402136071
A;8;RSW.NET;398811323;46.18Z;GROSLAY;95410;95;Île-de-France;INNOVESPACE DES MONTS DU VAL D'OISE 6 RUE RENE DUBOS 95410 GROSLAY;2046140;2022;116921;10 à 19;2023;1994;32;"Jean-Christophe Bailly (61 ans, Autre); Johann Simon (51 ans, Président de SAS)";61;3;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/398811323;https://recherche-entreprises.api.gouv.fr/search?q=398811323
A;8;SOCIETE D'ECHANGES SUD-SUD INTERNATIONAL (SESSI);417669835;46.90Z;PARIS;75010;75;Île-de-France;6 IMPASSE BOUTRON 75010 PARIS;1388068;2024;63598;10 à 19;2023;1998;28;Cheikh M Baye (80 ans, Gérant);80;3;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/417669835;https://recherche-entreprises.api.gouv.fr/search?q=417669835
A;8;FIDUCIAL OFFICE STORES;358501633;46.49Z;COURBEVOIE;92400;92;Île-de-France;41 RUE DU CAPITAINE GUYNEMER 92400 COURBEVOIE;1280283;2025;16740;10 à 19;2023;1958;68;Jean Claude Carquillat (77 ans, Gérant);77;4;GE;https://www.fiducialoffice.com;n/d;site récent (https+responsive);"pas d'espace client détecté ; pas de devis/commande en ligne détecté";n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/358501633;https://recherche-entreprises.api.gouv.fr/search?q=358501633
