priorite;score;nom;siren;code_naf;ville;code_postal;departement;region;adresse;ca_eur;annee_comptes;resultat_net_eur;effectif_tranche;annee_effectif;annee_creation;anciennete_ans;dirigeant_principal;age_dirigeant_max;nb_etablissements_ouverts;categorie_insee;site_web_probable;email_contact;signaux_site;signaux_faible_digitalisation;offres_emploi_admin;linkedin;url_source_registre;url_source_api
A;9;G.E.N IMPECCABLE;479685638;81.21Z;CLICHY-SOUS-BOIS;93390;93;Île-de-France;37 ALLEE DE CASTILLON 93390 CLICHY-SOUS-BOIS;3353758;2024;51638;20 à 49;2023;2004;22;"Slavolijub Djordjevic (61 ans, Gérant); Slavoljub Djordjevic (61 ans, Gérant)";61;2;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/479685638;https://recherche-entreprises.api.gouv.fr/search?q=479685638
A;9;HYGIENE HABITAT (2H);350969226;81.29A;LA GARENNE-COLOMBES;92250;92;Île-de-France;26 RUE VOLTAIRE 92250 LA GARENNE-COLOMBES;2621813;2024;327184;20 à 49;2023;1989;37;"Marc Esculier (62 ans, Président de SAS); Esculier Marc (62 ans, Président de SAS); Gilles Messian (64 ans, Directeur Général)";64;2;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/350969226;https://recherche-entreprises.api.gouv.fr/search?q=350969226
A;9;ESPACE NET;431816628;81.21Z;PARIS;75012;75;Île-de-France;3 RUE CHRISTIAN DEWET 75012 PARIS;1805133;2025;299889;20 à 49;2023;2000;26;Roland Sillaire (73 ans, Président de SAS);73;1;PME;https://www.espace-net.fr;espace-net@sfr.fr;"commande/devis en ligne; site récent (https+responsive)";pas d'espace client détecté;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/431816628;https://recherche-entreprises.api.gouv.fr/search?q=431816628
A;9;SOMAINNET;304555188;81.21Z;PARIS;75012;75;Île-de-France;18 COURS DE VINCENNES 75012 PARIS;1667305;2017;117421;20 à 49;2023;1975;51;Christian Fourdrinier (63 ans, Gérant);63;1;PME;https://www.somainnet.fr;n/d;"commande/devis en ligne; formulaire de contact; site récent (https+responsive)";pas d'espace client détecté;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/304555188;https://recherche-entreprises.api.gouv.fr/search?q=304555188
A;9;M.N.A.;444317739;81.21Z;NEUILLY-SUR-SEINE;92200;92;Île-de-France;26 RUE D'ARMENONVILLE 92200 NEUILLY-SUR-SEINE;1408789;2024;77940;20 à 49;2023;2002;24;Slavica Marinkovic (62 ans, Président de SAS);62;2;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/444317739;https://recherche-entreprises.api.gouv.fr/search?q=444317739
A;9;NETTOYAGE INDUSTRIEL ET MAINTENANCE (NIM);395007180;81.21Z;BOULOGNE-BILLANCOURT;92100;92;Île-de-France;1 PLACE PAUL VERLAINE 92100 BOULOGNE-BILLANCOURT;1281047;2024;6662;20 à 49;2023;1994;32;Jose Noriega (61 ans, Gérant);61;1;PME;https://www.nettoyageindustriel.fr;n/d;site récent (https+responsive);"pas d'espace client détecté ; pas de devis/commande en ligne détecté";n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/395007180;https://recherche-entreprises.api.gouv.fr/search?q=395007180
A;8;VENTEO ILE DE FRANCE;423105907;81.22Z;GENNEVILLIERS;92230;92;Île-de-France;86-114-PARC VALAD BAT C 86 AVENUE LOUIS ROCHE 92230 GENNEVILLIERS;3074199;2025;705748;10 à 19;2023;1999;27;"Axel Ballion (42 ans, Directeur Général); Christophe Besson (69 ans, Président de SAS)";69;1;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/423105907;https://recherche-entreprises.api.gouv.fr/search?q=423105907
A;8;APIC;403806540;81.22Z;MEUDON;92190;92;Île-de-France;12 T RUE DE PARIS 92190 MEUDON;2870495;2024;34486;10 à 19;2023;1996;30;Jean-Marie Faure (61 ans, Président de SAS);61;1;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/403806540;https://recherche-entreprises.api.gouv.fr/search?q=403806540
A;8;NPS (SAINES ILE-DE-FRANCE);412808966;81.21Z;COLOMBES;92700;92;Île-de-France;273 RUE GABRIEL PERI 92700 COLOMBES;2772366;2025;77592;20 à 49;2023;1997;29;José Carlos Pereira Da Costa (55 ans, Président de SAS);55;1;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/412808966;https://recherche-entreprises.api.gouv.fr/search?q=412808966
A;8;LES NOUVELLES TECHNIQUES DU NETTOYAGE (NTN);325260362;81.21Z;SURESNES;92150;92;Île-de-France;25 QUAI GALLIENI 92150 SURESNES;1741992;2025;2500;10 à 19;2023;1982;44;Vanick Kurkdjian (62 ans, Gérant);62;2;ETI;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/325260362;https://recherche-entreprises.api.gouv.fr/search?q=325260362
